dataset,instance,K,gas_rmse,oddshap_rmse,shaplEIG_rmse,gas_evals
air,7,1024,0.0028291211396631335,1.5083443510274328,0.04191474930474922,838
air,7,2048,0.002406853940751262,1.5083443510274328,0.04191474930474922,1287
air,8,256,0.00394815246279768,0.2076430989237424,0.04701047711674751,487
air,8,1024,0.0026588019112875477,0.2076430989237424,0.04701047711674751,843
air,8,2048,0.001594581744599171,0.2076430989237424,0.04701047711674751,1165
air,9,256,0.0024522314074064146,2.1639939882878436,0.044384154711178216,406
air,9,1024,0.0008004607330270235,2.1639939882878436,0.044384154711178216,808
air,9,2048,0.0011742908777757674,2.1639939882878436,0.044384154711178216,1230
air,10,256,0.0043610746839858276,2.415202709172206,0.1426026607972702,436
air,10,1024,0.0025883975876696457,2.415202709172206,0.1426026607972702,759
air,10,2048,0.0028064266174737894,2.415202709172206,0.1426026607972702,1189
air,11,256,0.005853403754200663,1.2133497909659567,0.12487489006830153,463
air,11,1024,0.0029365570284816864,1.2133497909659567,0.12487489006830153,820
air,11,2048,0.0025090098406730654,1.2133497909659567,0.12487489006830153,1155
air,12,256,0.0037793382537256517,1.4099322604336813,0.02544120454595761,465
air,12,1024,0.0015051937276870026,1.4099322604336813,0.02544120454595761,828
air,12,2048,0.0008053833143969492,1.4099322604336813,0.02544120454595761,1222
air,13,256,0.005004096079278353,1.3400308749611924,0.16181185378737942,474
air,13,1024,0.003970136256918722,1.3400308749611924,0.16181185378737942,838
air,13,2048,0.0024970324319178337,1.3400308749611924,0.16181185378737942,1231
air,14,256,0.007687602900625845,2.4189722573503887,0.10601877148137964,463
air,14,1024,0.0045870629830567,2.4189722573503887,0.10601877148137964,816
air,14,2048,0.002333695560050383,2.4189722573503887,0.10601877148137964,1241
air,15,256,0.008964318852527662,1.6578590344276212,0.10144667383967641,478
air,15,1024,0.006619656980303865,1.6578590344276212,0.10144667383967641,832
air,15,2048,0.005453518740155532,1.6578590344276212,0.10144667383967641,1194
air,16,256,0.0017041463529168018,1.4748867365091454,0.018977521024516046,441
air,16,1024,0.001198745895145781,1.4748867365091454,0.018977521024516046,756
air,16,2048,0.0004908485093115867,1.4748867365091454,0.018977521024516046,1117
air,17,256,0.0032281937413171907,1.6937432377297594,0.04878495164322055,430
air,17,1024,0.0014736601756107253,1.6937432377297594,0.04878495164322055,797
air,17,2048,0.0022336202571429527,1.6937432377297594,0.04878495164322055,1208
air,18,256,0.007468163906767193,1.8164863531253206,0.05532429607590312,422
air,18,1024,0.005954318728704783,1.8164863531253206,0.05532429607590312,793
air,18,2048,0.004054125760510375,1.8164863531253206,0.05532429607590312,1201
air,19,256,0.005778546252070365,1.6875653304964606,0.10218049215578501,449
air,19,1024,0.004754745960557949,1.6875653304964606,0.10218049215578501,859
air,19,2048,0.002976638660495019,1.6875653304964606,0.10218049215578501,1257
